#query,seed_ortholog,evalue,score,eggNOG_OGs,max_annot_lvl,COG_category,Description,Preferred_name,GOs,EC,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs
ECFFIKGN_00013,1286093.C266_08560,3.88e-120,344,"COG0717@1|root,COG0717@2|Bacteria,1MV2J@1224|Proteobacteria,2VIJ0@28216|Betaproteobacteria,1K38F@119060|Burkholderiaceae",28216|Betaproteobacteria,F,Belongs to the dCTP deaminase family,dcd,-,3.5.4.13,ko:K01494,"ko00240,ko01100,map00240,map01100",M00053,"R00568,R02325",RC00074,"ko00000,ko00001,ko00002,ko01000",-,-,-,dUTPase
ECFFIKGN_00014,1121013.P873_12815,2.03e-140,410,"COG0489@1|root,COG0489@2|Bacteria,1MU7R@1224|Proteobacteria,1RMJF@1236|Gammaproteobacteria,1X4VI@135614|Xanthomonadales",135614|Xanthomonadales,D,Binds and transfers iron-sulfur (Fe-S) clusters to target apoproteins. Can hydrolyze ATP,mrp,-,-,ko:K03593,-,-,-,-,"ko00000,ko03029,ko03036",-,-,-,"FeS_assembly_P,ParA"
ECFFIKGN_00015,1515746.HR45_16370,2.98e-63,201,"COG0652@1|root,COG0652@2|Bacteria,1REE3@1224|Proteobacteria,1S4BW@1236|Gammaproteobacteria,2QASH@267890|Shewanellaceae",1236|Gammaproteobacteria,M,PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides,ppiA,-,5.2.1.8,ko:K03767,"ko01503,ko04217,map01503,map04217",-,-,-,"ko00000,ko00001,ko01000,ko03110,ko04147",-,-,-,Pro_isomerase
ECFFIKGN_00016,357804.Ping_1764,5.37e-44,159,"2DBYQ@1|root,32TYF@2|Bacteria,1N2HM@1224|Proteobacteria,1SB6Y@1236|Gammaproteobacteria",1236|Gammaproteobacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ECFFIKGN_00018,1026882.MAMP_01294,2.5099999999999994e-232,654,"COG1190@1|root,COG1190@2|Bacteria,1MX1V@1224|Proteobacteria,1RMJN@1236|Gammaproteobacteria,4608H@72273|Thiotrichales",72273|Thiotrichales,J,Belongs to the class-II aminoacyl-tRNA synthetase family,lysS,-,6.1.1.6,ko:K04567,"ko00970,map00970","M00359,M00360",R03658,"RC00055,RC00523","ko00000,ko00001,ko00002,ko01000,ko01007,ko03016",-,-,-,"tRNA-synt_2,tRNA_anti-codon"
ECFFIKGN_00019,187272.Mlg_2496,8.139999999999998e-235,679,"COG1198@1|root,COG1198@2|Bacteria,1MUUZ@1224|Proteobacteria,1RPZ7@1236|Gammaproteobacteria,1WX60@135613|Chromatiales",135613|Chromatiales,L,"Involved in the restart of stalled replication forks. Recognizes and binds the arrested nascent DNA chain at stalled replication forks. It can open the DNA duplex, via its helicase activity, and promote assembly of the primosome and loading of the major replicative helicase DnaB onto DNA",priA,-,-,ko:K04066,"ko03440,map03440",-,-,-,"ko00000,ko00001,ko01000,ko03400",-,-,-,"DEAD,Helicase_C,ResIII"
ECFFIKGN_00021,1123073.KB899241_gene2017,1.53e-156,448,"COG0714@1|root,COG0714@2|Bacteria,1MUFN@1224|Proteobacteria,1RN5G@1236|Gammaproteobacteria,1X580@135614|Xanthomonadales",135614|Xanthomonadales,S,ATPase (AAA,-,-,-,ko:K03924,-,-,-,-,"ko00000,ko01000",-,-,-,AAA_3
ECFFIKGN_00022,631362.Thi970DRAFT_03275,1.04e-73,237,"COG1721@1|root,COG1721@2|Bacteria,1Q7RR@1224|Proteobacteria,1RNNP@1236|Gammaproteobacteria,1WWS2@135613|Chromatiales",135613|Chromatiales,S,Protein of unknown function DUF58,-,-,-,-,-,-,-,-,-,-,-,-,DUF58
ECFFIKGN_00023,1265313.HRUBRA_01095,6.98e-17,80.1,"2C5QF@1|root,331W9@2|Bacteria,1N7AE@1224|Proteobacteria,1SCH2@1236|Gammaproteobacteria",1236|Gammaproteobacteria,S,Domain of unknown function (DUF4381),-,-,-,-,-,-,-,-,-,-,-,-,DUF4381
ECFFIKGN_00024,686340.Metal_0119,2.27e-117,349,"COG2304@1|root,COG2304@2|Bacteria,1MXQ7@1224|Proteobacteria,1RMDX@1236|Gammaproteobacteria,1XDQK@135618|Methylococcales",135618|Methylococcales,S,"von Willebrand factor, type A",-,-,-,ko:K07114,-,-,-,-,"ko00000,ko02000","1.A.13.2.2,1.A.13.2.3",-,-,VWA
ECFFIKGN_00026,1123073.KB899241_gene2899,9.849999999999998e-178,503,"COG0320@1|root,COG0320@2|Bacteria,1MVRD@1224|Proteobacteria,1RMAT@1236|Gammaproteobacteria,1X4DA@135614|Xanthomonadales",135614|Xanthomonadales,H,"Catalyzes the radical-mediated insertion of two sulfur atoms into the C-6 and C-8 positions of the octanoyl moiety bound to the lipoyl domains of lipoate-dependent enzymes, thereby converting the octanoylated domains into lipoylated derivatives",lipA,"GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006082,GO:0006464,GO:0006629,GO:0006631,GO:0006633,GO:0006732,GO:0006790,GO:0006807,GO:0008150,GO:0008152,GO:0008610,GO:0009058,GO:0009106,GO:0009107,GO:0009108,GO:0009249,GO:0009987,GO:0010467,GO:0016053,GO:0016740,GO:0016782,GO:0016783,GO:0016992,GO:0018065,GO:0018130,GO:0018193,GO:0018205,GO:0019538,GO:0019752,GO:0032787,GO:0036211,GO:0043170,GO:0043412,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044260,GO:0044267,GO:0044272,GO:0044281,GO:0044283,GO:0044424,GO:0044464,GO:0046394,GO:0046483,GO:0051186,GO:0051188,GO:0051604,GO:0070283,GO:0071704,GO:0072330,GO:1901360,GO:1901362,GO:1901564,GO:1901576",2.8.1.8,ko:K03644,"ko00785,ko01100,map00785,map01100",-,"R07767,R07768",RC01978,"ko00000,ko00001,ko01000",-,-,-,"LIAS_N,Radical_SAM"
ECFFIKGN_00027,1122185.N792_01060,3.879999999999999e-96,287,"COG0321@1|root,COG0321@2|Bacteria,1MU6A@1224|Proteobacteria,1RMXQ@1236|Gammaproteobacteria,1X4H1@135614|Xanthomonadales",135614|Xanthomonadales,H,Catalyzes the transfer of endogenously produced octanoic acid from octanoyl-acyl-carrier-protein onto the lipoyl domains of lipoate-dependent enzymes. Lipoyl-ACP can also act as a substrate although octanoyl-ACP is likely to be the physiological substrate,lipB,"GO:0006464,GO:0006807,GO:0008150,GO:0008152,GO:0009249,GO:0009987,GO:0010467,GO:0018065,GO:0018193,GO:0018205,GO:0019538,GO:0036211,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0051604,GO:0071704,GO:1901564",2.3.1.181,ko:K03801,"ko00785,ko01100,map00785,map01100",-,"R07766,R07769","RC00039,RC00992,RC02867","ko00000,ko00001,ko01000",-,-,-,BPL_LplA_LipB
ECFFIKGN_00028,765910.MARPU_16705,5.89e-26,98.6,"COG2921@1|root,COG2921@2|Bacteria,1RGV5@1224|Proteobacteria,1S61Y@1236|Gammaproteobacteria,1WZ34@135613|Chromatiales",135613|Chromatiales,S,Belongs to the UPF0250 family,-,-,-,ko:K09158,-,-,-,-,ko00000,-,-,-,DUF493
ECFFIKGN_00029,1026882.MAMP_00704,2.15e-141,414,"COG1686@1|root,COG1686@2|Bacteria,1MUU7@1224|Proteobacteria,1RMJA@1236|Gammaproteobacteria,4602E@72273|Thiotrichales",72273|Thiotrichales,M,Belongs to the peptidase S11 family,-,-,3.4.16.4,ko:K07258,"ko00550,ko01100,map00550,map01100",-,-,-,"ko00000,ko00001,ko01000,ko01002,ko01011",-,-,-,"PBP5_C,Peptidase_S11"
ECFFIKGN_00030,754477.Q7C_1172,1.69e-76,241,"COG0797@1|root,COG3087@1|root,COG0797@2|Bacteria,COG3087@2|Bacteria,1MZ8S@1224|Proteobacteria,1RMCG@1236|Gammaproteobacteria,4610F@72273|Thiotrichales",72273|Thiotrichales,M,Lytic transglycosylase with a strong preference for naked glycan strands that lack stem peptides,rlpA,-,-,ko:K03642,-,-,-,-,ko00000,-,-,-,"DPBB_1,SPOR"
ECFFIKGN_00031,1123253.AUBD01000010_gene2130,6.3e-96,295,"COG2951@1|root,COG2951@2|Bacteria,1MUZ3@1224|Proteobacteria,1RMQ6@1236|Gammaproteobacteria,1X40P@135614|Xanthomonadales",135614|Xanthomonadales,M,murein transglycosylase,mltB,-,-,ko:K08305,-,-,-,-,"ko00000,ko01000,ko01011",-,GH103,-,SLT_2
ECFFIKGN_00032,1286106.MPL1_05409,8.079999999999999e-143,416,"COG0772@1|root,COG0772@2|Bacteria,1MUK3@1224|Proteobacteria,1RMEJ@1236|Gammaproteobacteria,460BS@72273|Thiotrichales",72273|Thiotrichales,M,Peptidoglycan polymerase that is essential for cell wall elongation,mrdB,-,-,ko:K05837,-,-,-,-,"ko00000,ko03036",-,-,-,FTSW_RODA_SPOVE
ECFFIKGN_00033,1384056.N787_11855,6.889999999999999e-206,597,"COG0768@1|root,COG0768@2|Bacteria,1MV8C@1224|Proteobacteria,1RN9H@1236|Gammaproteobacteria,1X374@135614|Xanthomonadales",135614|Xanthomonadales,M,Catalyzes cross-linking of the peptidoglycan cell wall,mrdA,-,3.4.16.4,ko:K05515,"ko00550,ko01501,map00550,map01501",-,-,-,"ko00000,ko00001,ko01000,ko01011",-,-,-,"PBP_dimer,Transpeptidase"
ECFFIKGN_00034,1118235.CAJH01000063_gene3486,9.87e-50,164,"COG2891@1|root,COG2891@2|Bacteria,1RER7@1224|Proteobacteria,1S26R@1236|Gammaproteobacteria,1X6PV@135614|Xanthomonadales",135614|Xanthomonadales,M,Involved in formation of the rod shape of the cell. May also contribute to regulation of formation of penicillin-binding proteins,mreD,-,-,ko:K03571,-,-,-,-,"ko00000,ko03036",9.B.157.1,-,-,MreD
ECFFIKGN_00035,187272.Mlg_0170,1.23e-63,212,"COG1792@1|root,COG1792@2|Bacteria,1N8ZS@1224|Proteobacteria,1RMK4@1236|Gammaproteobacteria,1WWKS@135613|Chromatiales",135613|Chromatiales,M,Involved in formation and maintenance of cell shape,-,-,-,ko:K03570,-,-,-,-,"ko00000,ko03036",9.B.157.1,-,-,MreC
ECFFIKGN_00036,1500890.JQNL01000001_gene2501,8.49e-201,561,"COG1077@1|root,COG1077@2|Bacteria,1MUMW@1224|Proteobacteria,1RN82@1236|Gammaproteobacteria,1X3UK@135614|Xanthomonadales",135614|Xanthomonadales,D,Rod shape-determining protein,mreB,-,-,ko:K03569,-,-,-,-,"ko00000,ko02048,ko03036,ko04812","1.A.33.1,9.B.157.1",-,-,MreB_Mbl
ECFFIKGN_00037,472759.Nhal_3683,4.72e-139,402,"COG0524@1|root,COG0524@2|Bacteria,1QTMS@1224|Proteobacteria,1RQQY@1236|Gammaproteobacteria,1WZWK@135613|Chromatiales",135613|Chromatiales,G,pfkB family carbohydrate kinase,-,-,2.7.1.20,ko:K00856,"ko00230,ko01100,map00230,map01100",-,R00185,"RC00002,RC00017","ko00000,ko00001,ko01000",-,-,-,PfkB
ECFFIKGN_00039,1449049.JONW01000005_gene1160,2.86e-15,74.3,"COG2850@1|root,COG2850@2|Bacteria,1MUAC@1224|Proteobacteria,2TSG2@28211|Alphaproteobacteria,2KHVD@204458|Caulobacterales",204458|Caulobacterales,S,transcription factor jumonji,-,-,-,-,-,-,-,-,-,-,-,-,Cupin_8
ECFFIKGN_00040,1449049.JONW01000005_gene1159,6.2299999999999995e-233,655,"COG0446@1|root,COG0446@2|Bacteria,1Q0P8@1224|Proteobacteria,2U4CV@28211|Alphaproteobacteria,2KK7B@204458|Caulobacterales",204458|Caulobacterales,S,Tryptophan halogenase,-,-,1.14.19.9,ko:K14266,"ko00404,ko01130,map00404,map01130","M00789,M00790",R09570,RC00949,"ko00000,ko00001,ko00002,ko01000",-,-,-,Trp_halogenase
ECFFIKGN_00041,1121013.P873_05230,1.91e-28,107,"2AQT2@1|root,31G11@2|Bacteria,1QDTG@1224|Proteobacteria,1T9XI@1236|Gammaproteobacteria,1X8G0@135614|Xanthomonadales",135614|Xanthomonadales,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ECFFIKGN_00042,765911.Thivi_4494,1.8200000000000002e-80,262,"COG0376@1|root,COG0376@2|Bacteria,1MUBF@1224|Proteobacteria,1RNA5@1236|Gammaproteobacteria,1WWMA@135613|Chromatiales",135613|Chromatiales,P,Bifunctional enzyme with both catalase and broad- spectrum peroxidase activity,katG,-,1.11.1.21,ko:K03782,"ko00360,ko00380,ko00940,ko00983,ko01100,ko01110,map00360,map00380,map00940,map00983,map01100,map01110",-,"R00602,R00698,R02596,R02670,R03919,R04007,R07443,R11906","RC00034,RC00213,RC00767,RC02141","ko00000,ko00001,ko01000",-,-,-,peroxidase
ECFFIKGN_00043,551789.ATVJ01000001_gene2392,2.2800000000000001e-26,120,"COG2091@1|root,COG2091@2|Bacteria,1MY8E@1224|Proteobacteria,2V4NX@28211|Alphaproteobacteria,43YZT@69657|Hyphomonadaceae",28211|Alphaproteobacteria,H,Carbohydrate family 9 binding domain-like,-,-,-,-,-,-,-,-,-,-,-,-,CBM9_1
ECFFIKGN_00044,391615.ABSJ01000059_gene2177,1.3199999999999998e-61,191,"COG0789@1|root,COG0789@2|Bacteria,1RGYB@1224|Proteobacteria,1S6Y1@1236|Gammaproteobacteria,1J6ER@118884|unclassified Gammaproteobacteria",1236|Gammaproteobacteria,K,transcriptional,VL23_01195,-,-,-,-,-,-,-,-,-,-,-,MerR_1
ECFFIKGN_00045,713586.KB900536_gene360,7.84e-52,164,"COG0776@1|root,COG0776@2|Bacteria,1RH5Z@1224|Proteobacteria,1S61Z@1236|Gammaproteobacteria,1WYKZ@135613|Chromatiales",135613|Chromatiales,K,"This protein is one of the two subunits of integration host factor, a specific DNA-binding protein that functions in genetic recombination as well as in transcriptional and translational control",himA,-,-,ko:K04764,-,-,-,-,"ko00000,ko03032,ko03036,ko03400",-,-,-,Bac_DNA_binding
ECFFIKGN_00046,1442599.JAAN01000014_gene3618,2.04e-273,782,"COG0072@1|root,COG0072@2|Bacteria,1MWKS@1224|Proteobacteria,1RMIH@1236|Gammaproteobacteria,1X313@135614|Xanthomonadales",135614|Xanthomonadales,J,Belongs to the phenylalanyl-tRNA synthetase beta subunit family. Type 1 subfamily,pheT,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006082,GO:0006139,GO:0006399,GO:0006412,GO:0006418,GO:0006432,GO:0006518,GO:0006520,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009328,GO:0009987,GO:0010467,GO:0016070,GO:0019538,GO:0019752,GO:0032991,GO:0034641,GO:0034645,GO:0034660,GO:0043038,GO:0043039,GO:0043043,GO:0043170,GO:0043436,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0071704,GO:0090304,GO:1901360,GO:1901564,GO:1901566,GO:1901576,GO:1902494",6.1.1.20,ko:K01890,"ko00970,map00970","M00359,M00360",R03660,"RC00055,RC00523","ko00000,ko00001,ko00002,ko01000,ko01007,ko03016",-,-,-,"B3_4,B5,FDX-ACB,tRNA_bind"
ECFFIKGN_00047,1384056.N787_07430,1.0799999999999998e-162,464,"COG0016@1|root,COG0016@2|Bacteria,1MVD7@1224|Proteobacteria,1RN22@1236|Gammaproteobacteria,1X40X@135614|Xanthomonadales",135614|Xanthomonadales,J,Belongs to the class-II aminoacyl-tRNA synthetase family. Phe-tRNA synthetase alpha subunit type 1 subfamily,pheS,"GO:0003674,GO:0003824,GO:0004812,GO:0004826,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006082,GO:0006139,GO:0006399,GO:0006412,GO:0006418,GO:0006432,GO:0006518,GO:0006520,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0016070,GO:0016874,GO:0016875,GO:0019538,GO:0019752,GO:0034641,GO:0034645,GO:0034660,GO:0043038,GO:0043039,GO:0043043,GO:0043170,GO:0043436,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044281,GO:0044424,GO:0044464,GO:0046483,GO:0071704,GO:0090304,GO:0140098,GO:0140101,GO:1901360,GO:1901564,GO:1901566,GO:1901576",6.1.1.20,ko:K01889,"ko00970,map00970","M00359,M00360",R03660,"RC00055,RC00523","ko00000,ko00001,ko00002,ko01000,ko01007,ko03016",-,-,-,"Phe_tRNA-synt_N,tRNA-synt_2d"
ECFFIKGN_00048,83406.HDN1F_10590,2.08e-56,177,"COG0292@1|root,COG0292@2|Bacteria,1RGU2@1224|Proteobacteria,1S3P3@1236|Gammaproteobacteria",1236|Gammaproteobacteria,J,Binds directly to 23S ribosomal RNA and is necessary for the in vitro assembly process of the 50S ribosomal subunit. It is not involved in the protein synthesizing functions of that subunit,rplT,"GO:0000027,GO:0000900,GO:0003674,GO:0003676,GO:0003723,GO:0003729,GO:0003735,GO:0005198,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0006355,GO:0006412,GO:0006417,GO:0006518,GO:0006807,GO:0006996,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009889,GO:0009890,GO:0009892,GO:0009987,GO:0010467,GO:0010468,GO:0010556,GO:0010558,GO:0010605,GO:0010608,GO:0010629,GO:0015934,GO:0016043,GO:0017148,GO:0019219,GO:0019222,GO:0019538,GO:0019843,GO:0022607,GO:0022613,GO:0022618,GO:0022625,GO:0022626,GO:0030371,GO:0031323,GO:0031324,GO:0031326,GO:0031327,GO:0032268,GO:0032269,GO:0032991,GO:0034248,GO:0034249,GO:0034622,GO:0034641,GO:0034645,GO:0042254,GO:0042255,GO:0042273,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0043933,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0045182,GO:0048519,GO:0048523,GO:0050789,GO:0050794,GO:0051171,GO:0051172,GO:0051246,GO:0051248,GO:0051252,GO:0060255,GO:0065003,GO:0065007,GO:0070180,GO:0070925,GO:0071704,GO:0071826,GO:0071840,GO:0080090,GO:0090079,GO:0097159,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1903506,GO:1990904,GO:2000112,GO:2000113,GO:2001141",-,ko:K02887,"ko03010,map03010",M00178,-,-,"br01610,ko00000,ko00001,ko00002,ko03011",-,-,-,Ribosomal_L20
ECFFIKGN_00049,1260251.SPISAL_03520,1.46e-25,95.9,"COG0291@1|root,COG0291@2|Bacteria,1N6V4@1224|Proteobacteria,1SCHI@1236|Gammaproteobacteria,1WZBU@135613|Chromatiales",135613|Chromatiales,J,Belongs to the bacterial ribosomal protein bL35 family,rpmI,-,-,ko:K02916,"ko03010,map03010",M00178,-,-,"br01610,ko00000,ko00001,ko00002,ko03011",-,-,-,Ribosomal_L35p
ECFFIKGN_00050,314278.NB231_16338,1.1699999999999999e-68,212,"COG0290@1|root,COG0290@2|Bacteria,1RDD2@1224|Proteobacteria,1S4E6@1236|Gammaproteobacteria,1WWSS@135613|Chromatiales",135613|Chromatiales,J,"IF-3 binds to the 30S ribosomal subunit and shifts the equilibrum between 70S ribosomes and their 50S and 30S subunits in favor of the free subunits, thus enhancing the availability of 30S subunits on which protein synthesis initiation begins",infC,-,-,ko:K02520,-,-,-,-,"ko00000,ko03012,ko03029",-,-,-,"IF3_C,IF3_N"
ECFFIKGN_00051,207954.MED92_02429,3.6e-106,326,"COG0441@1|root,COG0441@2|Bacteria,1MUP2@1224|Proteobacteria,1RMYE@1236|Gammaproteobacteria,1XI6X@135619|Oceanospirillales",135619|Oceanospirillales,J,Catalyzes the attachment of threonine to tRNA(Thr) in a two-step reaction L-threonine is first activated by ATP to form Thr-AMP and then transferred to the acceptor end of tRNA(Thr),thrS,-,6.1.1.3,ko:K01868,"ko00970,map00970","M00359,M00360",R03663,"RC00055,RC00523","ko00000,ko00001,ko00002,ko01000,ko01007,ko03016",-,-,-,"HGTP_anticodon,TGS,tRNA-synt_2b,tRNA_SAD"
